Antigen	Clone	Tag	Dilution	Cat #	Supplier	
CD3	UCHT1	A0034	1:10	300475	Biolegend	
CD4	OKT4	A0922	1:10	317451	Biolegend	
CD8	RPA-T8	A0080	1:10	301067	Biolegend	
CD19	HIB19	A0050	1:10	302259	Biolegend	
CD20	2H7	A0100	1:10	302359	Biolegend	
CD56	5.1H11	A0047	1:10	362557	Biolegend	
CD69	FN50	A0146	1:10	310947	Biolegend	
CD28	CD28.2	A0386	1:10	302955	Biolegend	
CD95	DX2	A0156	1:10	305649	Biolegend	
CD279 (PD-1)	RMP1-30	A0004	1:10	109123	Biolegend	
CD197 (CCR7)	G043H7	A0148	1:10	353247	Biolegend	
CD45RO	UCHL1	A0087	1:10	304255	Biolegend	
CD45RA	HI100	A0063	1:10	304157	Biolegend	
HLA-DR	L243	A0159	1:10	307659	Biolegend	
CD14	M5E2	A0081	1:10	301855	Biolegend	
CD16	3G8	A0083	1:10	302061	Biolegend	
CD11c	S-HCL-3	A0053	1:10	371519	Biolegend	
CD1c (BDCA1)	L161	A0160	1:10	331539	Biolegend	
CD370 (CLEC9A)	8F9	A0207	1:10	353807	Biolegend	
CD123	6H6	A0064	1:10	306037	Biolegend	
CD86	IT2.2	A0006	1:10	305443	Biolegend	
CD274 (PD-L1)	29E.2A3	A0007	1:10	329743	Biolegend	
CD163	GHI/61	A0358	1:10	333635	Biolegend	
CD33	P67.6	A0052	1:10	366629	Biolegend	
CD57	QA17A04	A0168	1:10	393319	Biolegend	
CD27	O323	A0154	1:10	302847	Biolegend	
CD38	HIT2	A0389	1:10	303541	Biolegend	
CD25	BC96	A0085	1:10	302643	Biolegend	
CD34	581	A0054	1:10	343537	Biolegend	
TCRgd	B1	A0139	1:10	331229	Biolegend	
TCRa7.2	3C10	A0581	1:10	351733	Biolegend	
Anti-PE	PE001	A0911	1:10	408109	Biolegend	
CD127	A019D5	A0390	1:10	351352	Biolegend	
CD94	DX22	A0867	1:10	305521	Biolegend	
FCER1a	AER-37	A0352	1:10	334641	Biolegend	
"Isotype control mIgG2a, k"	MOPC-173	A0091	1:10	400285	Biolegend	
"Isotype control mIgG1, k"	MOPC-21	A0090	1:10	400199	Biolegend	
"Isotype control mIgG2b, k"	MPC-11	A0092	1:10	400373	Biolegend	
"Isotype control, rIgG2b, k"	RTK4530	A0095	1:10	400673	Biolegend	